drug,state,total_claims,total_patients,total_days_supply,total_drug_cost,provider_count
Brivaracetam,AK,110,0.0,3328,157529.57,5
Brivaracetam,AL,2299,100.0,65698,3541384.0,73
Brivaracetam,AR,751,30.0,22461,1103671.96,21
Brivaracetam,AZ,2639,123.0,80157,4162653.57,74
Brivaracetam,CA,8398,417.0,272258,14537468.870000001,244
Brivaracetam,CO,1607,51.0,53325,2819075.52,56
Brivaracetam,CT,1622,72.0,50609,2767688.59,44
Brivaracetam,DC,275,11.0,9141,505795.77999999997,11
Brivaracetam,DE,293,17.0,9567,519752.69000000006,9
Brivaracetam,FL,5409,274.0,167018,8521571.83,204
Brivaracetam,GA,2833,179.0,76455,3738140.78,80
Brivaracetam,HI,868,70.0,27561,1535211.81,14
Brivaracetam,IA,1233,47.0,33481,1700589.2,30
Brivaracetam,ID,913,69.0,27854,1293351.8699999999,12
Brivaracetam,IL,4842,257.0,148860,8049686.13,143
Brivaracetam,IN,2954,102.0,86590,4374105.14,98
Brivaracetam,KS,1088,85.0,33757,1835655.94,31
Brivaracetam,KY,2147,99.0,63651,3318341.15,61
Brivaracetam,LA,1443,47.0,41148,2219255.93,50
Brivaracetam,MA,1625,51.0,51877,2650165.6,55
Brivaracetam,MD,1521,78.0,54691,2912086.26,45
Brivaracetam,ME,1175,175.0,40932,2236937.55,17
Brivaracetam,MI,9276,687.0,286991,15311504.15,228
Brivaracetam,MN,2660,178.0,82454,5020748.29,51
Brivaracetam,MO,3131,130.0,88203,4673766.88,77
Brivaracetam,MS,1058,12.0,27734,1423608.34,44
Brivaracetam,MT,77,0.0,2262,117599.36,5
Brivaracetam,NC,3716,201.0,110712,5931852.31,118
Brivaracetam,ND,243,0.0,7439,357435.82,5
Brivaracetam,NE,593,25.0,18472,1039812.3,17
Brivaracetam,NH,322,0.0,9878,472086.82999999996,11
Brivaracetam,NJ,3259,180.0,100980,4953988.15,103
Brivaracetam,NM,274,0.0,7218,438627.57,9
Brivaracetam,NV,1126,71.0,35246,1800434.54,33
Brivaracetam,NY,6730,286.0,205843,10605710.91,211
Brivaracetam,OH,4715,259.0,134459,7399264.35,132
Brivaracetam,OK,2258,133.0,64121,3259256.62,46
Brivaracetam,OR,726,29.0,23927,1389210.81,26
Brivaracetam,PA,4878,247.0,152586,7725596.89,152
Brivaracetam,PR,352,13.0,10725,540046.34,9
Brivaracetam,RI,202,0.0,5842,269747.97,8
Brivaracetam,SC,1198,47.0,35295,1792604.38,36
Brivaracetam,SD,169,0.0,4566,186686.72,7
Brivaracetam,TN,3529,151.0,102003,5237878.51,108
Brivaracetam,TX,7772,507.0,238921,12636710.78,222
Brivaracetam,UT,724,27.0,22269,1051918.85,25
Brivaracetam,VA,2804,133.0,85607,4754281.52,82
Brivaracetam,VT,126,0.0,3908,185044.88,4
Brivaracetam,WA,843,22.0,25425,1254058.97,33
Brivaracetam,WI,2085,165.0,63271,3608128.92,46
Brivaracetam,WV,795,16.0,22572,1115802.1,22
Brivaracetam,WY,73,0.0,2630,130146.17,3
Levetiracetam,AK,5598,273.0,187380,184793.07,160
Levetiracetam,AL,80927,11644.0,3481283,3046742.7,1335
Levetiracetam,AR,47351,4970.0,1895502,1595737.65,1030
Levetiracetam,AZ,58844,9981.0,3038493,2793273.92,1241
Levetiracetam,CA,316216,44333.0,14580052,15297399.98,6597
Levetiracetam,CO,36819,4832.0,1831961,2033065.4,948
Levetiracetam,CT,49767,6354.0,2096836,2243380.99,872
Levetiracetam,DC,7000,828.0,325211,283725.14,163
Levetiracetam,DE,12833,1866.0,595220,749687.59,200
Levetiracetam,FL,251304,39362.0,12060486,11462960.29,5515
Levetiracetam,GA,156963,18611.0,5717801,5311784.79,2306
